fips,cases,deaths,cured
13175,5692,173,5519
13177,2777,59,2718
13179,4196,67,4129
13181,845,28,817
13183,886,13,873
13185,13055,216,12839
13187,3054,79,2975
13193,891,37,854
13195,3286,56,3230
13197,572,24,548
13189,2551,52,2499
13191,870,16,854
13199,2073,89,1984
13201,855,14,841
13205,2105,84,2021
13207,2728,102,2626
13209,908,23,885
13211,2287,31,2256
13213,5044,92,4952
13215,16931,498,16433
13217,11392,262,11130
13219,4055,73,3982
13221,1514,31,1483
13223,17455,231,17224
13225,2727,70,2657
13227,3550,80,3470
13229,2528,61,2467
13231,2370,43,2327
13233,5746,100,5646
13235,948,45,903
13237,2243,59,2184
13239,169,3,166
13241,1801,50,1751
13243,643,34,609
13245,25198,532,24666
13247,7917,177,7740
13249,351,5,346
13251,1022,33,989
13253,958,19,939
13255,6518,203,6315
13257,3185,81,3104
13259,1052,25,1027
13261,2623,106,2517
13263,500,19,481
13265,123,3,120
13267,2368,69,2299
13269,817,26,791
13271,1337,60,1277
13273,823,49,774
13275,4598,126,4472
13277,4973,132,4841
13279,3466,119,3347
13281,1282,60,1222
13283,861,34,827
13285,7651,238,7413
13287,1050,42,1008
13289,733,46,687
13291,2302,81,2221
13293,3529,133,3396
13295,7897,90,7807
13297,10906,265,10641
13299,5000,181,4819
13301,552,20,532
13303,2171,88,2083
13305,3650,91,3559
13307,146,4,142
13309,632,25,607
13311,3249,84,3165
13313,17112,250,16862
13315,841,48,793
13317,1116,30,1086
13319,946,27,919
13321,1804,69,1735
15001,3265,55,3210
15003,27874,400,27474
15005,1,0,1
15007,361,2,359
15009,4890,57,4833
16001,53585,484,53101
16003,343,4,339
16005,8885,110,8775
16007,400,2,398
16009,767,10,757
16011,4879,76,4803
16013,2399,18,2381
16015,379,2,377
16017,3389,45,3344
16019,15046,177,14869
16021,896,11,885
16023,212,1,211
16025,72,0,72
16027,27663,312,27351
16029,713,12,701
16031,2974,28,2946
16033,59,0,59
16035,1085,14,1071
16037,257,3,254
16039,2130,19,2111
16041,1236,17,1219
16043,1143,14,1129
16045,1842,39,1803
16047,1337,23,1314
16049,1363,18,1345
16051,3030,33,2997
16053,2650,23,2627
16055,19078,217,18861
16057,3219,11,3208
16059,534,9,525
16061,438,11,427
16063,512,11,501
16065,7343,28,7315
16067,2357,33,2324
16069,3755,58,3697
16071,370,4,366
16073,1090,31,1059
16075,2630,38,2592
16077,672,9,663
16079,1197,35,1162
16081,1232,4,1228
16083,9797,132,9665
16085,876,6,870
16087,1240,22,1218
17001,8803,156,8647
17003,476,11,465
17005,2087,30,2057
17007,6845,90,6755
17009,750,12,738
17011,3792,98,3694
17013,531,5,526
17015,1786,38,1748
17017,2039,36,2003
17019,21153,164,20989
17021,3844,93,3751
17023,1850,41,1809
17025,1505,48,1457
17027,5796,100,5696
17029,5779,103,5676
17031,557001,11047,545954
17033,2145,41,2104
17035,1303,31,1272
17039,1573,36,1537
17037,10389,126,10263
17041,2609,42,2567
17043,92565,1406,91159
17045,1772,61,1711
17047,584,13,571
17049,4771,84,4687
17051,3227,58,3169
17053,1893,58,1835
17055,4553,90,4463
17057,4052,67,3985
17059,470,5,465
17061,1456,47,1409
17063,5995,82,5913
17065,844,19,825
17067,1823,41,1782
17069,391,12,379
17071,529,23,506
17073,5079,99,4980
17075,3158,70,3088
17077,5117,76,5041
17079,1167,20,1147
17081,4446,123,4323
17083,2723,71,2652
17085,1830,27,1803
